Would you like to print in verbose or short mode? v
Using verbose mode.
0	0	120	140	141	210	215	232	240	311	340	365	372	440	460	462	490	492	499	998	999
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
3	10	5	11	0	15	4	13	20	16	9	19	14	6	17	12	2	8	18	1	7
3	10	5	11	4	15	0	13	20	16	9	19	14	6	17	12	2	8	18	1	7
3	10	0	11	4	15	5	13	20	16	9	19	14	6	17	12	2	8	18	1	7
3	10	0	11	4	15	5	13	20	16	9	19	14	6	17	2	12	8	18	1	7
3	10	0	11	2	15	5	13	20	16	9	19	14	6	17	4	12	8	18	1	7
3	10	0	11	5	15	2	13	20	16	9	19	14	6	17	4	12	8	18	1	7
3	10	0	11	4	15	2	13	20	16	9	19	14	6	17	5	12	8	18	1	7
3	10	0	4	11	15	2	13	20	16	9	19	14	6	17	5	12	8	18	1	7
3	10	0	4	5	15	2	13	20	16	9	19	14	6	17	11	12	8	18	1	7
3	10	0	4	5	15	2	13	20	16	6	19	14	9	17	11	12	8	18	1	7
3	10	0	4	5	15	2	13	6	16	20	19	14	9	17	11	12	8	18	1	7
3	10	0	4	5	15	2	13	6	16	20	19	14	9	8	11	12	17	18	1	7
3	10	0	4	5	15	2	8	6	16	20	19	14	9	13	11	12	17	18	1	7
3	10	0	4	5	9	2	8	6	16	20	19	14	15	13	11	12	17	18	1	7
3	10	0	4	5	9	2	8	6	16	15	19	14	20	13	11	12	17	18	1	7
Assignment found.
3	10	0	4	5	9	2	8	6	16	15	17	14	20	13	11	12	19	18	1	7
